,parking,number_domain_keywords_en,number_parking_kewords_en,number_together_in_line_keywords_en,keyword_in_title_en,stemmed_keyword_in_title,presence_of_nav,text_alpha_length,number_frames,number_images,domain_in_title,domain_in_text,in_warninglist,number_redirects,different_final_domain,number_links,number_link_same_domain,average_link_length_same_domain,number_different_link_domains,average_link_length,maximum_link_length,link_to_text_ratio,number_non_link_characters,third_party_requests_ratio,third_party_data_ratio,third_party_html_content_ratio,initial_response_size,initial_response_ratio,kword_auction,kword_domain,kword_regist,kword_price,kword_offer,kword_servic,kword_host,kword_websit,kword_contact,kword_site,kword_transfer,kword_héberge,kword_internet,kword_serveur,kword_découvr,kword_mainten
parking,1.0,-0.04416573116627822,0.062875198594696,0.3789236292017333,0.3700524685021858,0.3434426721576809,-0.26588695758971576,-0.0707763098345659,-0.13844319211819447,-0.1472709529551075,0.42924011464842465,0.13328381083923135,0.8081558334308565,-0.10356058960069998,-0.09549182391655925,-0.18345490768049158,-0.1296262109273701,0.15641975395875987,-0.12318511614654178,0.19194931687242536,0.07637289779437617,-0.17173827998822672,-0.053454963960477664,0.04052364819171526,0.06948625800650554,-0.07429536216457147,0.0816083930254272,0.10817016202797178,-0.013222830493473869,0.0904217111564613,-0.06063835699755933,-0.04453403095773934,-0.0271255706102275,-0.03268732812866774,-0.0005068417277905206,-0.054892675977834274,-0.06827855322380243,-0.07577035523651561,0.08521083061532143,0.09978584614765823,-0.07941751421154152,0.02621279712335126,-0.012839867899712925,-0.050874962570445915
number_domain_keywords_en,-0.04416573116627822,1.0,0.25874230156829503,0.2667137151345005,0.012004303443030625,0.004245501868659337,0.0970286667194525,0.060762566010826385,0.18012937937646922,0.0816849040143303,-0.01963317121001949,-0.0046115845827260265,-0.027213055955889482,0.042264476860448486,0.1360585383156689,0.07757842200900625,0.07139563960535109,0.012835938737253465,0.032881584876666654,0.034913893383033565,0.08987374848560575,0.01514831031861196,0.055203141622126285,0.14096614181338624,0.12440566231406311,0.12906516862818038,0.0041367116283271554,-0.04840421799945732,0.023392625309723518,0.32076180022060624,0.29118032070436173,0.18941177428249245,0.21415628846722062,0.6942895231234888,0.13686702455909325,0.2511875527982777,0.1426847194236574,0.803543816634944,0.07242538215256707,-0.007622660389367324,0.05272043215895605,0.014420075642874751,0.03754338910409723,0.019887873832192586
number_parking_kewords_en,0.062875198594696,0.25874230156829503,1.0,0.3512543321424409,0.0597864410940238,0.04431376183568112,-0.003275131522220415,0.007152771557432169,0.05842680585658245,0.06270404754904377,0.047058354301291065,0.005478652670590408,0.08282916263593507,-0.00015102415390710165,0.07888562518119102,0.0400196044238072,0.04622651928076692,0.0036980387480832857,0.01770390494534051,0.04487225282245903,0.08530780269534126,-0.00780327422869959,0.002928794557874075,0.10258465821688478,0.06831002694777788,0.07257583307839861,0.14562423895393464,0.044548758763017164,0.02835933221528452,0.16987781940830082,0.2928037398196619,0.47954488238710813,0.23243254996135718,0.05915655972664351,0.2775443435729521,0.1786959435116177,0.15482785515623265,0.22832909887116207,0.10827720115311011,-0.008074971140764905,0.0807039885499744,-0.008506387982403016,0.010821940939155178,0.03604514443168911
number_together_in_line_keywords_en,0.3789236292017333,0.2667137151345005,0.3512543321424409,1.0,0.27671583559347,0.27011752249469273,-0.08234486970371255,-0.021141660037711923,0.14284718603602858,0.040403529473577414,0.3333751746242292,0.09242810328445189,0.34178259852499604,0.0012220367680561444,0.02232148732513163,8.26858475211982e-05,-0.00400079502092017,0.044537888657704014,-0.015268159412192336,0.06638514771324776,0.06073555388336572,-0.06560147325160091,-0.020461272373068877,0.17742876904227028,0.1707526230667265,0.036222272488360074,0.016839617454951366,-0.05800685090191366,0.09568622196024289,0.24075296972408897,0.22926620130619152,0.19757598064956788,0.17533680536977134,0.10863582747343521,0.10663604707648082,0.14218084295098854,0.15963614470811457,0.2609055906869435,0.2776805069869266,-0.017221119683376564,0.06026591724395716,-0.02239418397351304,0.0649860553333556,0.04776320324531039
keyword_in_title_en,0.3700524685021858,0.012004303443030625,0.0597864410940238,0.27671583559347,1.0,0.7470182372317075,-0.13856392326576075,-0.03617937052516483,-0.0845221089201546,-0.0779930616697585,0.11272396008840281,-0.009981525949360668,0.20990598621573023,-0.0767806597573355,-0.02893255259830675,-0.09902993394286773,-0.08684596302914986,-0.018523956555414983,-0.05340874810747567,0.02011578753996241,-0.028131161697451224,-0.174769869333465,-0.02766446206991292,0.03535203988173268,0.04477811945689538,-0.0435360817333735,0.04525944852969019,0.0821184378095322,-0.006617879914048299,0.07514998359452174,-0.01119923342139983,-0.03830149501343159,0.062310377772143974,-0.003663995525092159,0.04578999099568105,0.1339975765705963,-0.022403618836630147,0.019622776223039803,0.0982094737624354,-0.011910235415141216,-0.049541978854796435,-0.01548795943343836,-0.022004209016406026,0.04773150137764363
stemmed_keyword_in_title,0.3434426721576809,0.004245501868659337,0.04431376183568112,0.27011752249469273,0.7470182372317075,1.0,-0.1028254561135021,-0.02697978344261352,-0.06190508420178422,-0.07438400982302014,0.1349234799806593,0.007145120330824909,0.18582561368810097,-0.0782846908214531,0.014078596513177099,-0.08225507950245867,-0.042624814074766676,-0.015308844226757804,-0.07164076755214949,0.01558259295268643,-0.02131838882004649,-0.15115099996783593,-0.020337021293891974,0.07330415015978926,0.07112063272987622,-0.00915791389012987,0.04218594710627002,0.03819646781188326,-0.006715573895840798,0.07108531030039106,-0.0036998047732310843,-0.037556054124279606,0.016911562793654977,0.004366242560063373,0.04953854253233648,0.14558907830118092,-0.01801202800838994,0.02690387725059764,0.12977925977396995,-0.012266363510437403,0.0856372055609436,-0.015951065098507154,-0.02266215714021466,-0.013437047367080374
presence_of_nav,-0.26588695758971576,0.0970286667194525,-0.003275131522220415,-0.08234486970371255,-0.13856392326576075,-0.1028254561135021,1.0,0.023695360134531968,0.23515773718960617,0.08647480005066967,-0.1679963211243041,-0.10564428646090422,-0.20993857203820937,0.1006319826188822,0.2106690643275142,0.13120206953961344,0.1537770096488006,-0.0014379575044770369,0.012939231687008883,0.0020793518677526333,0.08464236953002344,0.2150055248961081,0.0038549394735567797,0.22271892514116126,0.17006005880439048,0.23504839439914343,-0.056939700361733535,-0.22681881381726646,0.037275394875792546,-0.054167257770917195,0.07570910303575638,0.07508396240484409,0.09232048885238592,0.03475933074530013,0.014580225160990922,0.06896057948912078,0.1310037913743159,0.13500219082029305,-0.04139205300514249,-0.03488365631992116,0.0650994218133046,-0.04536238245014892,0.03493812876908024,0.03257772240324272
text_alpha_length,-0.0707763098345659,0.060762566010826385,0.007152771557432169,-0.021141660037711923,-0.03617937052516483,-0.02697978344261352,0.023695360134531968,1.0,0.16289541556133494,0.552786290945551,-0.006701241642543876,0.06828498896934329,-0.057067064556541584,0.07013270515262761,0.07242371773776685,0.6377949055799526,0.3666226834899538,0.012526230552045627,0.25126159054977476,-0.01876613757672307,0.06089483768986346,-0.04818976389323043,0.9945401449012502,0.10595138174663853,0.09880700808733721,0.08610596648464147,0.24985144492971662,-0.05029254321674893,-0.0038474938082922266,-0.0032626708205599083,0.04854749251160326,0.013213157168967874,0.03284230507844164,0.37390173826755907,-0.004786151126804818,0.08411445899515582,0.03769710924608577,0.1428172227975506,-0.010651684465504756,-0.00732270158919358,0.30722259267575924,0.754122268223813,0.04395622088817212,0.015694364649656053
number_frames,-0.13844319211819447,0.18012937937646922,0.05842680585658245,0.14284718603602858,-0.0845221089201546,-0.06190508420178422,0.23515773718960617,0.16289541556133494,1.0,0.1564033972686378,-0.011386817463730822,-0.024151865159198614,-0.10237016368208936,0.2407421862579445,0.17719403155602637,0.2683970344064685,0.147006488882379,0.08659687981996096,0.06789741588157303,0.06751775186496019,0.14977899594815833,0.1219539774165661,0.1399141927170697,0.30215201308149126,0.2533736857909167,0.327328318805275,-0.015804843738998795,-0.150566839461539,0.079267446062933,0.08880698958646722,0.051204576602873655,0.06801184275428267,0.05009570485158072,0.11010362222946397,0.0859690193716209,0.1856407616322175,0.08048144731478873,0.21154625908654287,0.004954075271521853,-0.023557731317699997,0.18275778048484628,0.010605551630875064,0.04461226316024152,0.014538256480668301
number_images,-0.1472709529551075,0.0816849040143303,0.06270404754904377,0.040403529473577414,-0.0779930616697585,-0.07438400982302014,0.08647480005066967,0.552786290945551,0.1564033972686378,1.0,-0.05608967663073179,0.06260741058605303,-0.11705651616567415,0.09701482853507434,0.07247612226798833,0.6328648070754729,0.32717901287177503,0.006302295045044701,0.41756661407436296,0.011289255292583612,0.08031393061431236,0.1765834270090248,0.5206836066067748,0.07501157252127312,0.05658910082026286,0.08345077456938084,0.1859215717745121,-0.10196507157839871,0.013409407107123315,0.03287457790419868,0.045868284206674374,0.13860078036333032,0.057518277014868405,0.1780372163132151,0.02784581997491285,0.04168133535502115,0.09248089656333675,0.11220150288664346,-0.002698560100557178,-0.01454005387118916,0.15994955893750679,0.454851637058109,0.07463074138133872,0.00634861296848624
