,parking,number_domain_keywords_en,number_parking_kewords_en,number_together_in_line_keywords_en,keyword_in_title_en,stemmed_keyword_in_title,presence_of_nav,text_alpha_length,number_frames,number_images,domain_in_title,domain_in_text,in_warninglist,number_redirects,different_final_domain,number_links,number_link_same_domain,average_link_length_same_domain,number_different_link_domains,average_link_length,maximum_link_length,link_to_text_ratio,number_non_link_characters,third_party_requests_ratio,third_party_data_ratio,third_party_html_content_ratio,initial_response_size,initial_response_ratio,kword_auction,kword_domain,kword_regist,kword_price,kword_offer,kword_servic,kword_host,kword_websit,kword_contact,kword_site,kword_transfer,kword_héberge,kword_internet,kword_serveur,kword_découvr,kword_mainten
parking,1.0,-0.052127052943559564,0.08232022904234446,0.34500402668829006,0.4679062562494334,0.438032925781574,-0.32072148910227705,-0.08461143447401887,-0.18299522676012175,-0.16998962223544414,0.4144823490991,0.18484710035652607,0.58114100637264,-0.12564395978460366,-0.10198049650098678,-0.2030304421108788,-0.1332242532044565,0.07510786105296872,-0.13870763918660964,0.1356690411147018,-0.012179667591823717,-0.21528344204266267,-0.06577146815131024,0.02670768384317114,0.05297477553717151,-0.10044875397895135,0.10495869830691688,0.1666214164298819,-0.00394868773370416,0.12747090832328395,-0.028471186382438302,-0.05455285346360431,-0.026717670015989143,-0.043057634573658486,-0.004501131325222266,-0.019781541259728648,-0.04694642067804369,-0.08871353832641973,0.07916704818824194,0.0645151458865607,-0.059985231146805165,0.015533004653693644,-0.016812295879856238,-0.01785668315907071
number_domain_keywords_en,-0.052127052943559564,1.0,0.2588239305686211,0.22705810067762322,0.0023310304458324525,0.002414656361214829,0.0620661999031501,0.0464723276520745,0.1393225157951427,0.0696158170737406,0.01952598308265145,-0.02160139473184978,-0.0206807001766657,0.04279806971206545,0.13505342961924044,0.12535838644363886,0.03691592927734084,0.023084610539638936,0.03608445288998245,0.07139552717905319,0.11527606644706315,0.0671718156565629,0.040417581927022446,0.13342055118812368,0.11212953703342601,0.12535885509763667,0.010285338781202476,-0.04362935212496593,0.02833372874169427,0.30789754278589615,0.2514274761184634,0.1792741441885825,0.1945587603105007,0.5690014050345554,0.12389099046584363,0.25157011299202214,0.13512190537859284,0.7453012392483931,0.10245037812234051,-0.00025322927091659384,0.08491009166242473,0.006838358165186636,0.03921338347099327,0.06471913247640387
number_parking_kewords_en,0.08232022904234446,0.2588239305686211,1.0,0.34993241461155045,0.07887835101523892,0.07885837641463718,-0.015464826783615675,0.0033038066356034642,0.05100310017375283,0.04579583305138577,0.027230880776529496,0.026112272082113957,0.13141142360819122,0.0011873688671313338,0.0736583266437938,0.030866820775827176,0.0299503818740973,0.004353666294376894,0.013018936066866084,0.057438770011571695,0.07733882138276413,0.004092608533807814,-8.324267935801953e-05,0.10118492904250449,0.053277551261190485,0.06530242726667151,0.16267825270175243,0.08439778589876354,0.04976708755149574,0.3317982182541308,0.29581753810644756,0.4446758946165728,0.24545604525837847,0.06543873842045116,0.2996442724591458,0.342032821201604,0.09046072873270722,0.2607547133303623,0.14365150949469077,-0.007677595791297335,0.09220773161590845,-0.0035973387516891014,0.0035085402196283855,0.022685092996217213
number_together_in_line_keywords_en,0.34500402668829006,0.22705810067762322,0.34993241461155045,1.0,0.2874984771263323,0.27974075377650187,-0.09013338754257881,-0.028224911671188596,0.11521462889885142,0.018887684850432733,0.32462887894394443,0.12914263065500256,0.3474030583535261,-0.0010429072707465884,0.05370134884578562,-0.016657694210039826,-0.018035824814874913,0.05837538828571774,-0.015635793085422733,0.08897571626237898,0.06933873174851797,-0.05782127285779916,-0.026057319005902423,0.18986716361764736,0.1748594936055398,0.05969581752055513,0.020292669755029753,-0.043901357276619944,0.11488443276186204,0.27390234382998996,0.2206330105683223,0.17993073807885365,0.18010322177162547,0.11058911101841006,0.12039508113251203,0.1640642361073851,0.1457582281908307,0.23608155256041868,0.3009728640550334,0.011312803115998218,0.06644748660390994,0.011491728241571783,0.04284709418403519,0.07800569155906979
keyword_in_title_en,0.4679062562494334,0.0023310304458324525,0.07887835101523892,0.2874984771263323,1.0,0.795769031327892,-0.16731936412623086,-0.05449555095742776,-0.12402967744522907,-0.11044672238014336,0.1646681788083416,0.06818887717085112,0.177292211949636,-0.09838914668288792,-0.04636431355786106,-0.12487124885503939,-0.09475655234620936,-0.03781152464660095,-0.06595181289965875,0.008983722585096028,-0.06976294674736644,-0.19752681548805687,-0.04314257504540832,0.011843830531770606,0.014379609202095984,-0.07157005209758885,0.0455776936643093,0.13104284938949318,0.0025651302575322816,0.11962802581814132,0.00471478159354568,-0.038454182363388587,0.04777132393175471,-0.006091284843802643,0.042171875949137745,0.11389405718342732,0.0652463651291303,0.012918396013342916,0.08482271606051954,0.06054424425741211,-0.05317897232022915,0.012820670679395876,0.003924029733144423,0.09120675602359911
stemmed_keyword_in_title,0.438032925781574,0.002414656361214829,0.07885837641463718,0.27974075377650187,0.795769031327892,1.0,-0.12255400231279888,-0.04630283316976958,-0.11255322348318678,-0.10415612730472334,0.1618122798833037,0.05924901508659508,0.1654748751941437,-0.10377837460675658,-0.016056833392191647,-0.11037538443450685,-0.06386860906026215,-0.03178357367236664,-0.07900994999157879,0.007269817357729237,-0.05998956044399715,-0.17303455985073507,-0.03644444558886504,0.03280526604543898,0.028063618013234006,-0.04610173428762729,0.052574415740525265,0.12404060141472226,0.0027882381914567183,0.12071521094950628,0.012955241028048528,-0.03515276305747365,0.014114934214420735,0.004869336917937562,0.04188369898421243,0.13602916422897793,0.07493937673982855,0.02951863969132053,0.11137943715759493,0.1138937760995045,0.06555609913312894,0.07518986619076076,0.04318112429016348,0.06358254676245667
presence_of_nav,-0.32072148910227705,0.0620661999031501,-0.015464826783615675,-0.09013338754257881,-0.16731936412623086,-0.12255400231279888,1.0,0.06261308860549748,0.2702073563788347,0.12050388683959094,-0.15947215690509306,-0.0873585907875252,-0.1892069895256437,0.11878238676218372,0.2049386009753463,0.17740073509210524,0.16378887574865592,0.005855934279688401,0.06570815822539403,-0.007282187504914006,0.10428333962021204,0.26395268711390835,0.03982255277915707,0.19705423360165808,0.1410623909784046,0.22682894339312837,-0.05443673886709126,-0.21912824020917482,0.03837381419880346,-0.06975548530322943,0.01944697820166295,0.07133648263472517,0.08875801135093683,0.04286715104770793,0.033602727001892756,0.059580339642461025,0.06890074607916227,0.13137540880989498,-0.057901617011901586,0.00554235843339605,0.07962847969737166,0.025768326216189165,0.06263778542104013,0.024129929154257393
text_alpha_length,-0.08461143447401887,0.0464723276520745,0.0033038066356034642,-0.028224911671188596,-0.05449555095742776,-0.04630283316976958,0.06261308860549748,1.0,0.15625492415158063,0.6527646983518842,-0.020199409478971777,0.0763547414174717,-0.048238802402430704,0.06779589323368088,0.04703608816090609,0.6521654672830539,0.29265112816407457,0.01986083449400535,0.30420354104238534,-0.01723720854037915,0.06659558709888343,-0.028980945721299913,0.9936235702072054,0.08621909011042513,0.07404001453275721,0.06780661861104124,0.20380668021493176,-0.045457949099572036,-0.0030384515127442314,-0.006813322849184369,0.09806529435435356,0.012264680043325468,0.036778385234829375,0.31881698954745963,0.0005455563571632384,0.06948554090959522,0.004492888929328959,0.11264556081387152,-0.0113916181003818,0.01103060535140063,0.3373879630635818,0.07061077551940552,0.027087790960398327,0.003338384719063216
number_frames,-0.18299522676012175,0.1393225157951427,0.05100310017375283,0.11521462889885142,-0.12402967744522907,-0.11255322348318678,0.2702073563788347,0.15625492415158063,1.0,0.17629982909358027,-0.008360075398835256,-0.011998675053446584,-0.08442095660863518,0.282656329473197,0.17052605280354197,0.3055178764235208,0.18842414684645717,0.09761628941531347,0.12822082259840603,0.06815533593647187,0.18405397050498504,0.1923950568520502,0.126558035529376,0.29813005895263195,0.24102241820470088,0.3135928081333862,0.014873984442031198,-0.15408654742648845,0.07581755263539093,0.0659296036624229,0.037314114706052545,0.07799403614491945,0.059189966538023886,0.10667902799302445,0.09139610040585132,0.15521361827402266,0.014128760671615746,0.19392999848733017,0.003937298515696045,-0.03195472875064883,0.14828764909351566,-0.01904822205616108,-0.0037705888997222508,0.0013287826581551278
number_images,-0.16998962223544414,0.0696158170737406,0.04579583305138577,0.018887684850432733,-0.11044672238014336,-0.10415612730472334,0.12050388683959094,0.6527646983518842,0.17629982909358027,1.0,-0.05723964545543705,0.06046012325436103,-0.09861666145973032,0.12390528631843482,0.07070014768025704,0.6487935865101846,0.26231977381925475,0.024292834018008073,0.4551892266782802,0.019409925658091673,0.10294091150126726,0.18159622035676132,0.6256552743173786,0.0793339186012106,0.05574583931336417,0.0903988376355714,0.14798197868482796,-0.09616511855491586,0.012798310667085507,0.012835485045323392,0.12491771920698463,0.1250599768593486,0.06119993497222147,0.16430965007317636,0.020490987178358643,0.03650093831647889,0.01735877856301087,0.09324474402478954,-0.008031555961467865,-0.015321289833139485,0.2052710485705911,0.027177299375087668,0.018829621746614615,-0.007634728644384023
