,parking,number_domain_keywords_en,number_parking_kewords_en,number_together_in_line_keywords_en,keyword_in_title_en,stemmed_keyword_in_title,presence_of_nav,text_alpha_length,number_frames,number_images,domain_in_title,domain_in_text,in_warninglist,number_redirects,different_final_domain,number_links,number_link_same_domain,average_link_length_same_domain,number_different_link_domains,average_link_length,maximum_link_length,link_to_text_ratio,number_non_link_characters,third_party_requests_ratio,third_party_data_ratio,third_party_html_content_ratio,initial_response_size,initial_response_ratio,kword_auction,kword_domain,kword_regist,kword_price,kword_offer,kword_servic,kword_host,kword_websit,kword_contact,kword_site,kword_transfer,kword_héberge,kword_internet,kword_serveur,kword_découvr,kword_mainten
parking,1.0,-0.08742438225649553,0.15728730077406888,0.3023375124951878,0.4891833144101731,0.4634018006610879,-0.3542502971629519,-0.09461945313999731,-0.21097991880638012,-0.1497314492148686,0.3568733798885579,0.35838395919596344,0.2819574435974337,-0.1753977842142231,-0.04244119208381391,-0.18388906516512465,-0.1056568841454495,-0.106609113181935,-0.15831382202806277,0.03295083460598545,-0.20335709288111095,-0.18947696524996077,-0.07959584108106327,0.027125939100702507,0.0478510766644382,-0.07546110606670593,0.03774103257097603,0.23578751713655408,0.002081960447401516,0.14979971037245327,-0.025512475725856732,-0.12077849005167633,0.06560914493160254,-0.1450436681027124,-0.03804241513714906,0.06879905642624463,-0.09097196572320523,-0.11456959036741854,0.0608833318836204,0.030071754994964447,-0.06448143480233291,-0.03091360869553117,-0.09708012408012384,-0.014787252310807162
number_domain_keywords_en,-0.08742438225649553,1.0,0.27310281267869424,0.14315461855841946,-0.02507758750441207,-0.01225013824880189,-0.006077517832056269,0.021301877933345394,0.05004479437814218,0.052714150671542837,0.08564653721044191,-0.06125614429695008,-0.002165627569053394,0.06011756363524024,0.1482794005422162,0.22988333197145913,-0.005715539380693293,0.08515102011295728,0.05329780759112719,0.18743813212181074,0.20651629501199695,0.2312922979890863,0.013358209608512358,0.12268800536753491,0.08945088745055535,0.13007444321724107,0.011358689921587107,-0.03874102467121269,0.048738989321935905,0.2840722861996001,0.1983725055370661,0.3484254441815116,0.2845849431239618,0.3239877145823612,0.1029875204803567,0.25953081295570235,0.1590427271122968,0.6568088036792699,0.17238375517188187,-0.00414300610510368,0.13874938717545546,0.006402457957255349,0.0428197428710233,0.1343453525009318
number_parking_kewords_en,0.15728730077406888,0.27310281267869424,1.0,0.3510782822294547,0.14521361689748152,0.17948885155042765,-0.0696603906722209,-0.008630698406246032,0.012283284939350509,-0.016462523582692786,-0.020015511055726336,0.09591917589927529,0.32538970644439513,0.004295806740377727,0.05219958050577151,0.0011010404496405951,-0.0004836007285087318,0.006143285315166513,-0.008859995217237439,0.11296179867141894,0.043091965189766386,0.04223565840091939,-0.009445300886091508,0.09586275882930233,0.0033239537108426666,0.03798526328577622,0.23096872569914897,0.19993019398126574,0.15510246233306657,0.7839903949786242,0.33542724834935095,0.372097506552868,0.5475523057555425,0.20416297012738466,0.37191434282100366,0.8420497348652936,0.0878284462994773,0.3853530259300019,0.2616125986395255,-0.012842087068008493,0.12588095903387037,-0.004023356698907196,0.0009854215161263897,-0.0054597896408587
number_together_in_line_keywords_en,0.3023375124951878,0.14315461855841946,0.3510782822294547,1.0,0.3106113884836049,0.2963609709875471,-0.07922100405593409,-0.041075035565978524,0.04808841721457982,-0.025029442173972877,0.2924538716187208,0.2538634003196842,0.3877673288536053,0.00798471971946325,0.18420875466446734,-0.04186197414098389,-0.034850411291523636,0.17776833881185725,-0.001712434054603694,0.1820663585208864,0.11610599235893766,0.014958059090200352,-0.03715089719138771,0.2353675921108253,0.19236896088447641,0.15946854289302734,0.005515609627290481,-0.021304179562452105,0.20542446569557427,0.35348522442044644,0.21774816137473252,0.16427501285667154,0.3966096999102804,0.26549795567245765,0.1507676675413297,0.23564220257989146,0.19443556580158067,0.15706721785891672,0.3706140282076159,0.008973613791549357,0.07794726732171617,0.015119912517788115,0.022106687686922328,0.14011813746498458
keyword_in_title_en,0.4891833144101731,-0.02507758750441207,0.14521361689748152,0.3106113884836049,1.0,0.8356744704047644,-0.11894067226768505,-0.07051193081903809,-0.13815951059052883,-0.1117194302171061,0.18510922477290576,0.2657357820941362,0.17521078283871797,-0.14059696271754302,-0.013147275735567683,-0.11380289773089883,-0.0736065088440773,-0.08329425570976903,-0.06057962450758733,-0.02754506375786909,-0.16987506046775366,-0.1427600194617213,-0.0606693852820085,-0.018719730111162063,-0.03521232553267229,-0.06133537634624766,-0.03317904810469585,0.18557169709827764,0.016543650381690714,0.16145393473838934,-0.00021289539287375352,-0.01112314036156293,0.13368129136456836,0.02714073973210653,0.01872000644793178,0.11254230965992999,0.09238042285761643,0.025822368884915417,0.05017988747825604,0.04400441800761596,-0.08366792584549616,-0.019981045227012047,-0.037944420495527494,0.13170630219035748
stemmed_keyword_in_title,0.4634018006610879,-0.01225013824880189,0.17948885155042765,0.2963609709875471,0.8356744704047644,1.0,-0.05071104845061488,-0.06502778709761091,-0.16713669850050233,-0.10413839413385952,0.14365928359348462,0.19948436476399137,0.18239055537745288,-0.1642099298187369,-0.012809896079910982,-0.10635913939404068,-0.05969782285855645,-0.06585531722159768,-0.06563462395765247,-0.022421068984396268,-0.1529117338939188,-0.11714203560853215,-0.055655135012577184,-0.03497633171715964,-0.05032892515700662,-0.057409469962659145,-0.009025690916029635,0.24917717677442539,0.01970387544161262,0.17563039998129223,0.012002420127034822,0.015611735101149243,0.11884320810435112,0.08010720113920262,0.013350952391216453,0.15321472465214467,0.11157138370037759,0.066617607634463,0.06798564868801024,0.1371534381074785,0.019433587923858468,0.08610666307322337,0.040135313644566996,0.15688629408252913
presence_of_nav,-0.3542502971629519,-0.006077517832056269,-0.0696603906722209,-0.07922100405593409,-0.11894067226768505,-0.05071104845061488,1.0,0.16076121309454422,0.34697240977248256,0.16966594833029364,-0.07122871163819094,-0.04196057462697217,-0.15212776585113294,0.16834139650026145,0.12639976560348704,0.26535368356069655,0.1784781337442747,-0.0006098983497647984,0.24534056433607873,-0.04207443766633727,0.17075041579870354,0.34946617234337485,0.135406087498193,0.10656628397241397,0.040435064264898714,0.1422219156390829,0.012282627202108732,-0.17360485975878734,0.06251553845996312,-0.07576870596120559,-0.07064613652505758,4.298926651944479e-05,0.016845249709441245,0.13944615093763169,0.10285997897782269,0.013683545378396406,0.08964929136174343,0.10271338936431357,-0.10022177509162358,0.06645354757628473,0.14456854296974547,0.10513372858677904,0.17785514590663207,0.0369121991425015
text_alpha_length,-0.09461945313999731,0.021301877933345394,-0.008630698406246032,-0.041075035565978524,-0.07051193081903809,-0.06502778709761091,0.16076121309454422,1.0,0.13511936653650639,0.9429690941520349,-0.03779819404060683,0.09777208369019334,-0.027410446437092745,0.05950423107612205,-0.03412054347151603,0.6876041987248196,0.18478254339632,0.0571530232492405,0.4890476739932941,-0.01209746737106184,0.08640791211314007,0.005401859522873411,0.991751040458543,0.032741756751338495,0.008098779911395211,0.009830791751626988,0.18015729797011082,-0.028683370813740523,0.0017200720061830259,-0.008037759382123028,0.1843170702744192,0.003456787113767839,0.09172969052799536,0.13493252815728507,0.012972207718318121,0.031171108708009168,-0.010648387128381832,0.021014300941326287,-0.010766720918104353,0.02791324868723438,0.40274589959118684,0.035159442712730596,0.028836286618735017,-0.015378645887903896
number_frames,-0.21097991880638012,0.05004479437814218,0.012283284939350509,0.04808841721457982,-0.13815951059052883,-0.16713669850050233,0.34697240977248256,0.13511936653650639,1.0,0.20798473615812368,0.08296211204996257,0.02961867838956671,-0.026541740222757376,0.5335482247694103,0.08362122535232638,0.433802115957898,0.3257229592030426,0.15458898417251868,0.42125215792732423,0.08440904654638245,0.364644648265272,0.44668569333886476,0.08071362528013291,0.2962018524225583,0.20106078491591448,0.2167687130117406,0.1657536721899586,-0.1501770137114823,0.07256832386745508,0.038104672943378576,0.03506856558558638,0.2007614547467893,0.12460259463142068,0.06234908533895174,0.15158126414754625,0.029511148580905866,-0.013779094260234631,0.09383217696385669,0.018220705378802375,-0.036068972586319234,0.07960853434252042,-0.016576266156536606,-0.01767089736644526,-0.010478750287290419
number_images,-0.1497314492148686,0.052714150671542837,-0.016462523582692786,-0.025029442173972877,-0.1117194302171061,-0.10413839413385952,0.16966594833029364,0.9429690941520349,0.20798473615812368,1.0,-0.01570444634850826,0.04671351249823103,-0.04904586999633264,0.23481976279356603,0.023321508471462606,0.6873727137305626,0.14979280109697762,0.11442305822145737,0.5985429361190922,0.0595688698031005,0.18535075482996444,0.12862185464337816,0.9345298721396024,0.08625686656023576,0.04798491778816837,0.07263742709181985,0.1681641949138527,-0.05898092378444635,0.019004926112704067,-0.013954287894280548,0.30974768471751124,0.020184826779392036,0.08725495319002904,0.11681781440740029,0.017987757352069762,0.009978812636514997,-0.014574229530651291,0.01007395243521047,-0.014690456276309346,-0.001842809144729756,0.3400850851202806,0.007217998505686186,0.004485422535775535,-0.02294116051661443
