uuid,tags,url,parking,number_domain_keywords_en,number_parking_kewords_en,number_together_in_line_keywords_en,keyword_in_title_en,stemmed_keyword_in_title,kword_auction,kword_domain,kword_regist,kword_price,kword_offer,kword_servic,kword_host,kword_websit,kword_contact,kword_site,kword_transfer,kword_héberge,kword_internet,kword_serveur,kword_découvr,kword_mainten,language,presence_of_nav,text_alpha_length,number_frames,number_images,domain_in_title,domain_in_text,in_warninglist,ip,different_final_domain,number_links,number_link_same_domain,average_link_length_same_domain,number_different_link_domains,average_link_length,maximum_link_length,link_to_text_ratio,number_non_link_characters,third_party_requests_ratio,third_party_data_ratio,third_party_html_content_ratio,initial_response_size,initial_response_ratio,number_redirects,structural_hash,Unnamed: 0
e341a954-1657-4706-be3b-e3948f4670ca,"['not_parking', 'selected_captures']",https://competent-flamingo-l5g81p.mystrikingly.com/,False,114,2,0,False,False,0,26,13,80,0,3,12,2,42,38,0,0,0,0,0,0,unknown,False,505,3,5,False,False,False,"{'v4': [], 'v6': []}",False,12,2,268.0,4,73.55555555555556,268,0.4158415841584158,295,0.9605263157894736,0.9871576887103742,0.46687296788546,37385,0.0110933664724845,0,00657963d5937f00e9637cd022d38b5c,
5317339f-7617-49ad-98a9-62ad9bb75866,"['not_parking', 'selected_captures']",http://skai-aero.fr,False,2,0,0,False,False,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,unknown,True,1662,0,16,False,False,False,"{'v4': ['34.120.137.41'], 'v6': ['2600:1901:0:84ef::']}",True,10,2,28.0,6,14.0,28,0.0403128760529482,1595,0.9523809523809524,1.0,1.0,0,0.0,1,ef4596f68d43c6118aa25eaba6e07c81,
a8196054-a30d-44cc-af9d-0b7b10404752,"['not_parking', 'selected_captures']",http://ucoz.com,False,53,0,0,True,True,0,0,0,0,1,0,1,21,2,24,0,0,2,0,0,0,unknown,True,1962,1,16,False,False,False,"{'v4': ['213.174.157.200'], 'v6': []}",True,80,5,24.2,60,23.025,90,0.273190621814475,1426,0.9861111111111112,0.9999200433023911,0.9893253373313344,178,7.995669760871079e-05,6,4c8c4716ed6acf95ab9933cf8484395f,
85bfa4a8-9935-4235-babe-8a1abc5d3e03,"['not_parking', 'selected_captures']",http://mon-renouvellement-enligne-espace-assure.fr,False,354,6,3,True,True,1,0,6,1,9,179,16,4,458,49,4,0,3,0,1,10,unknown,True,2165,1,15,False,False,False,"{'v4': ['91.208.206.185'], 'v6': []}",False,47,0,0.0,6,4.042553191489362,51,0.366743648960739,1371,0.0,0.0,0.0,0,0.0,2,1b158974b7daf41693d5ccf9c26f7c4b,
76a63b67-b792-4145-80cf-8f3b3d719c29,"['not_parking', 'selected_captures']",http://wisecaulking.com.au/Support/Signin,False,10,0,0,False,False,0,0,0,0,0,1,67,0,0,10,0,0,0,0,0,0,unknown,False,185,1,2,False,False,False,"{'v4': ['110.232.143.30'], 'v6': []}",False,1,0,0.0,0,0.0,0,0.0378378378378378,178,0.5,0.7083396477724744,0.0,795,0.001105316502862,2,4d4ea6bec772b91a8489f49764c376f7,
48461a5d-7f2a-45db-a4e7-bf9cc1c8e5e3,"['not_parking', 'selected_captures']",https://m.porno-zadrochi.best/108-v.html,False,43,0,0,False,False,0,16,2,53,0,0,2,0,0,4,0,0,0,0,0,0,unknown,True,9565,12,99,False,False,False,"{'v4': ['172.67.162.121', '104.21.49.118'], 'v6': ['2606:4700:3030::6815:3176', '2606:4700:3034::ac43:a279']}",False,634,1,39.0,519,18.77093206951027,669,0.7740721380031365,2161,0.7323943661971831,0.3897934670880343,0.0233269566243331,85841,0.0239837011080039,38,6b22a82aa9d8654e939066c69fb0829a,
8d874e99-28dc-46bd-a2f3-c479ea010e69,"['not_parking', 'selected_captures']",http://shinystat.com,False,21,2,2,True,True,0,0,0,0,0,1,0,7,1,13,0,0,0,0,0,0,unknown,True,3663,0,39,False,False,False,"{'v4': ['185.206.85.84'], 'v6': []}",True,97,9,103.11111111111111,54,29.351063829787236,138,0.2274092274092274,2830,0.9642857142857144,0.9997719202656642,0.9774305555555556,0,0.0,3,fa4e5092121e38a17197f2d886aa8890,
f3d2df5f-f36a-4f2b-86db-58fc78eceb65,"['not_parking', 'selected_captures']",https://lelonex.com,False,1,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,False,269,0,1,False,True,False,"{'v4': ['172.67.203.121', '104.21.22.82'], 'v6': ['2606:4700:3036::ac43:cb79', '2606:4700:3035::6815:1652']}",False,1,0,0.0,1,62.0,62,0.037174721189591,259,0.7777777777777778,0.7804026344212638,0.7642328429132779,0,0.0,1,9556a7c335a5627146ce1508da6d163e,
a821ae99-4294-45cb-88fe-c1a5eced9833,"['not_parking', 'selected_captures']",https://pl.escort.club/,False,24,0,0,False,False,0,9,0,6,0,0,0,2,1,3,0,0,1,0,0,0,unknown,False,19491,4,88,False,False,False,"{'v4': ['172.67.145.159', '104.21.87.190'], 'v6': ['2606:4700:3036::ac43:919f', '2606:4700:3031::6815:57be']}",False,718,397,48.22418136020151,15,38.0616570327553,86,0.2996767738956441,13650,0.2857142857142857,0.7753997940906399,0.0677757756079844,66737,0.0378978846305642,1,9e3a0a09d6f7529c48962717d3c0af27,
6e579e5e-d553-4b73-acc0-97598648373e,"['not_parking', 'selected_captures']",http://free13runpool.com,False,40,2,0,False,False,0,0,0,0,1,29,0,13,2,22,0,0,3,0,0,0,unknown,True,52496,4,1,False,True,False,"{'v4': [], 'v6': []}",True,605,0,0.0,16,1.4942148760330578,24,0.1450205729960378,44883,0.96,1.0,1.0,0,0.0,1,9428cafc635cbe7412d286132dab6f72,
